# source: U.S. Census Bureau Schedule D (distcode.html), fetched 2026-09-07
# https://www.census.gov/foreign-trade/schedules/d/distcode.html
# Every port-of-entry entry in the published list (district header rows excluded).
regime,kind,code,name,state_province,country,parent_code
ACE,port_of_entry,1601,CHARLESTON,SC,US,
ACE,port_of_entry,1602,GEORGETOWN,SC,US,
ACE,port_of_entry,1603,GREENVILLE-SPARTANBRG,SC,US,
ACE,port_of_entry,1604,COLUMBIA,SC,US,
ACE,port_of_entry,1681,MYRTLE BEACH INTL AIRPORT,SC,US,
ACE,port_of_entry,1701,BRUNSWICK,GA,US,
ACE,port_of_entry,1703,SAVANNAH,GA,US,
ACE,port_of_entry,1704,ATLANTA,GA,US,
ACE,port_of_entry,1801,TAMPA,FL,US,
ACE,port_of_entry,1803,JACKSONVILLE,FL,US,
ACE,port_of_entry,1805,FERNANDINA BEACH,FL,US,
ACE,port_of_entry,1807,BOCA GRANDE,FL,US,
ACE,port_of_entry,1808,ORLANDO,FL,US,
ACE,port_of_entry,1809,ORLANDO-SANFORD AIRPORT,FL,US,
ACE,port_of_entry,1814,ST. PETERSBURG,FL,US,
ACE,port_of_entry,1816,PORT CANAVERAL,FL,US,
ACE,port_of_entry,1818,PANAMA CITY,FL,US,
ACE,port_of_entry,1819,PENSACOLA,FL,US,
ACE,port_of_entry,1821,PORT MANATEE,FL,US,
ACE,port_of_entry,1822,FORT MYERS AIRPORT,FL,US,
ACE,port_of_entry,1880,NAPLES MUNICIPAL USER FEE AIRP,FL,US,
ACE,port_of_entry,1883,SARASOTA BRADENTON ARPT,FL,US,
ACE,port_of_entry,1884,DAYTONA BEACH INT'L ARPT,FL,US,
ACE,port_of_entry,1885,MELBOURNE REGIONAL AIRPORT,FL,US,
ACE,port_of_entry,1887,"LEESBURG REGIONAL AIRP, LEESBURG",FL,US,
ACE,port_of_entry,1888,ORLANDO EXECUTIVE AIRPORT,FL,US,
ACE,port_of_entry,1889,ST. AUGUSTINE AIRPORT,FL,US,
ACE,port_of_entry,1901,MOBILE,AL,US,
ACE,port_of_entry,1902,GULFPORT,MS,US,
ACE,port_of_entry,1903,PASCAGOULA,MS,US,
ACE,port_of_entry,1904,BIRMINGHAM,AL,US,
ACE,port_of_entry,1910,HUNTSVILLE,AL,US,
ACE,port_of_entry,2001,MORGAN CITY,LA,US,
ACE,port_of_entry,2002,NEW ORLEANS,LA,US,
ACE,port_of_entry,2003,LITTLE ROCK,AR,US,
