# source: CBSA ECCRD CERS ch.25 Table 1 (CBSA office codes), fetched 2026-09-07
# https://www.cbsa-asfc.gc.ca/prog/cers-scde/ch25/eccrdcers-deccescde-20-eng.html
# Every active office in the published table (commented-out/decommissioned rows excluded).
regime,kind,code,name,state_province,country,parent_code
ACI,cbsa_office,0837,Sidney - Victoria Int Arpt (Ops),BC,CA,
ACI,cbsa_office,0841,Aldergrove,BC,CA,
ACI,cbsa_office,0890,Whitehorse,YT,CA,
ACI,cbsa_office,0891,Pleasant Camp,BC,CA,
ACI,cbsa_office,0892,Beaver Creek,YT,CA,
ACI,cbsa_office,0893,Fraser,BC,CA,
ACI,cbsa_office,0895,Little Gold Creek,YT,CA,
ACI,cbsa_office,0896,Stewart,BC,CA,
ACI,cbsa_office,0911,Corner Brook,NL,CA,
ACI,cbsa_office,0912,Gander International Airport,NL,CA,
ACI,cbsa_office,0913,Goose Bay,NL,CA,
ACI,cbsa_office,0914,St. John's,NL,CA,
ACI,cbsa_office,0919,Fortune,NL,CA,
ACI,cbsa_office,0921,Argentia,NL,CA,
